epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,10526.6,1.5584,0.81437,0.95649,0.87569,0.85557,0.90204,0.46409,1.48167,0.73787,0.95613,0.0008912,0.0008912,0.0008912
30,10610.5,1.54022,0.74551,0.97466,0.93012,0.86221,0.92253,0.49944,1.39318,0.6859,0.92751,0.0008516,0.0008516,0.0008516
31,10694.8,1.51274,0.7638,0.95624,0.88285,0.8502,0.89824,0.46983,1.43049,0.67097,0.9282,0.000812,0.000812,0.000812
32,10779.3,1.49966,0.74412,0.93878,0.88495,0.84085,0.89814,0.46921,1.41683,0.68334,0.93048,0.0007724,0.0007724,0.0007724
33,10865.6,1.52404,0.73239,0.9356,0.91073,0.8261,0.90778,0.46895,1.40604,0.68147,0.92852,0.0007328,0.0007328,0.0007328
34,10951.9,1.53053,0.73452,0.94214,0.94312,0.79352,0.90215,0.46742,1.4582,0.68972,0.93806,0.0006932,0.0006932,0.0006932
35,11038.1,1.45204,0.7307,0.92828,0.94341,0.80986,0.90202,0.48237,1.45759,0.67612,0.93767,0.0006536,0.0006536,0.0006536
36,11124.9,1.48079,0.71677,0.92695,0.91593,0.83808,0.90119,0.46339,1.42802,0.66962,0.93142,0.000614,0.000614,0.000614
37,11211.5,1.38238,0.6763,0.92191,0.90782,0.83736,0.89985,0.43843,1.44584,0.68767,0.92621,0.0005744,0.0005744,0.0005744
38,11298.2,1.35265,0.68199,0.94485,0.90739,0.83299,0.90301,0.47959,1.35463,0.65518,0.912,0.0005348,0.0005348,0.0005348
39,11398.7,1.41264,0.67549,0.90691,0.91174,0.87831,0.9311,0.50443,1.39239,0.63378,0.9147,0.0004952,0.0004952,0.0004952
40,13087.7,1.41173,0.6764,0.90693,0.92405,0.88664,0.94046,0.545,1.27016,0.59131,0.9008,0.0004556,0.0004556,0.0004556
41,13175.2,1.40913,0.66456,0.96633,0.93535,0.87868,0.93081,0.55069,1.21838,0.58465,0.89438,0.000416,0.000416,0.000416
42,13265.4,1.43858,0.67488,0.93898,0.93514,0.87552,0.92864,0.54941,1.22521,0.58713,0.89334,0.0003764,0.0003764,0.0003764
43,13356.7,1.37259,0.65703,0.92112,0.93389,0.88664,0.933,0.56121,1.20691,0.58166,0.89099,0.0003368,0.0003368,0.0003368
44,13450.2,1.34784,0.66402,0.90996,0.93961,0.87045,0.93334,0.55862,1.25795,0.59255,0.90052,0.0002972,0.0002972,0.0002972
45,13542.4,1.44181,0.66459,0.91727,0.92096,0.89624,0.93299,0.55384,1.28045,0.59247,0.90707,0.0002576,0.0002576,0.0002576
46,13635.3,1.29398,0.62447,0.91194,0.91756,0.90123,0.93108,0.56247,1.25829,0.58589,0.90427,0.000218,0.000218,0.000218
47,13727.5,1.35255,0.66158,0.91828,0.9134,0.89678,0.93048,0.55353,1.25028,0.58344,0.89954,0.0001784,0.0001784,0.0001784
48,13819.4,1.29758,0.62646,0.90187,0.92744,0.8664,0.92903,0.54534,1.25,0.58391,0.89627,0.0001388,0.0001388,0.0001388
49,13912.4,1.2695,0.59654,0.8923,0.93472,0.8696,0.9321,0.55183,1.23546,0.57677,0.89238,9.92e-05,9.92e-05,9.92e-05
50,14005.1,1.30268,0.60421,0.88771,0.93456,0.8664,0.93292,0.55575,1.22396,0.57075,0.89011,5.96e-05,5.96e-05,5.96e-05
